algorithm,iteration,gap,record_gap,time_s
IRLS,384,5.521910e-08,5.521910e-08,1.588654e-02
IRLS,385,5.481924e-08,5.481924e-08,1.592700e-02
IRLS,386,5.442315e-08,5.442315e-08,1.596929e-02
IRLS,387,5.403080e-08,5.403080e-08,1.601271e-02
IRLS,388,5.364213e-08,5.364213e-08,1.605333e-02
IRLS,389,5.325711e-08,5.325711e-08,1.609342e-02
IRLS,390,5.287568e-08,5.287568e-08,1.613563e-02
IRLS,391,5.249780e-08,5.249780e-08,1.617742e-02
IRLS,392,5.212344e-08,5.212344e-08,1.621858e-02
IRLS,393,5.175255e-08,5.175255e-08,1.626171e-02
IRLS,394,5.138508e-08,5.138508e-08,1.630342e-02
IRLS,395,5.102100e-08,5.102100e-08,1.634596e-02
IRLS,396,5.066027e-08,5.066027e-08,1.638296e-02
IRLS,397,5.030284e-08,5.030284e-08,1.642604e-02
IRLS,398,4.994868e-08,4.994868e-08,1.646804e-02
IRLS,399,4.959775e-08,4.959775e-08,1.650875e-02
IRLS,400,4.925002e-08,4.925002e-08,1.655146e-02
IRLS,401,4.890543e-08,4.890543e-08,1.659433e-02
IRLS,402,4.856396e-08,4.856396e-08,1.663979e-02
IRLS,403,4.822558e-08,4.822558e-08,1.668163e-02
IRLS,404,4.789023e-08,4.789023e-08,1.672208e-02
IRLS,405,4.755790e-08,4.755790e-08,1.676425e-02
IRLS,406,4.722853e-08,4.722853e-08,1.680696e-02
IRLS,407,4.690211e-08,4.690211e-08,1.684583e-02
IRLS,408,4.657860e-08,4.657860e-08,1.688829e-02
IRLS,409,4.625795e-08,4.625795e-08,1.693125e-02
IRLS,410,4.594014e-08,4.594014e-08,1.697129e-02
IRLS,411,4.562514e-08,4.562514e-08,1.701171e-02
IRLS,412,4.531292e-08,4.531292e-08,1.705388e-02
IRLS,413,4.500343e-08,4.500343e-08,1.709675e-02
IRLS,414,4.469666e-08,4.469666e-08,1.713792e-02
IRLS,415,4.439257e-08,4.439257e-08,1.717667e-02
IRLS,416,4.409113e-08,4.409113e-08,1.721467e-02
IRLS,417,4.379230e-08,4.379230e-08,1.725154e-02
IRLS,418,4.349607e-08,4.349607e-08,1.729296e-02
IRLS,419,4.320240e-08,4.320240e-08,1.733442e-02
IRLS,420,4.291126e-08,4.291126e-08,1.737692e-02
IRLS,421,4.262263e-08,4.262263e-08,1.742000e-02
IRLS,422,4.233647e-08,4.233647e-08,1.746213e-02
IRLS,423,4.205276e-08,4.205276e-08,1.750279e-02
IRLS,424,4.177147e-08,4.177147e-08,1.754325e-02
IRLS,425,4.149257e-08,4.149257e-08,1.758567e-02
IRLS,426,4.121604e-08,4.121604e-08,1.762838e-02
IRLS,427,4.094186e-08,4.094186e-08,1.766888e-02
IRLS,428,4.066999e-08,4.066999e-08,1.770883e-02
IRLS,429,4.040041e-08,4.040041e-08,1.775108e-02
IRLS,430,4.013309e-08,4.013309e-08,1.779292e-02
IRLS,431,3.986802e-08,3.986802e-08,1.783408e-02
IRLS,432,3.960516e-08,3.960516e-08,1.787408e-02
IRLS,433,3.934449e-08,3.934449e-08,1.791654e-02
IRLS,434,3.908600e-08,3.908600e-08,1.795804e-02
IRLS,435,3.882964e-08,3.882964e-08,1.799917e-02
IRLS,436,3.857541e-08,3.857541e-08,1.803917e-02
IRLS,437,3.832328e-08,3.832328e-08,1.808204e-02
IRLS,438,3.807322e-08,3.807322e-08,1.812413e-02
IRLS,439,3.782522e-08,3.782522e-08,1.816479e-02
IRLS,440,3.757925e-08,3.757925e-08,1.820496e-02
IRLS,441,3.733529e-08,3.733529e-08,1.824750e-02
IRLS,442,3.709332e-08,3.709332e-08,1.828908e-02
IRLS,443,3.685331e-08,3.685331e-08,1.832625e-02
IRLS,444,3.661526e-08,3.661526e-08,1.836833e-02
IRLS,445,3.637912e-08,3.637912e-08,1.841000e-02
IRLS,446,3.614490e-08,3.614490e-08,1.845075e-02
