start,delta_factor,rho,R,delta_0,gap,n_contractions,n_iter
cold,0.01,0.8,0.5,0.04574394495906652,6.570953217899245e-05,29,8000
cold,0.01,0.3,5.0,0.04574394495906652,6.82753922456314e-05,5,8000
cold,1.0,0.8,1.0,4.5743944959066525,6.94985160858419e-05,47,8000
cold,0.1,0.3,5.0,0.4574394495906653,7.365732937847369e-05,7,8000
cold,1.0,0.5,5.0,4.5743944959066525,7.60025155837063e-05,15,8000
cold,0.01,0.7,1.0,0.04574394495906652,8.723093780549362e-05,17,8000
cold,0.5,0.3,5.0,2.2871972479533262,9.218132202981622e-05,8,8000
cold,0.5,0.9,0.5,2.2871972479533262,9.467070912383413e-05,95,8000
cold,0.5,0.3,10.0,2.2871972479533262,9.743435794984379e-05,8,8000
cold,0.05,0.3,10.0,0.22871972479533265,9.91598702171359e-05,6,8000
cold,0.01,0.5,5.0,0.04574394495906652,0.00010139865667047054,8,8000
cold,1.0,0.9,0.5,4.5743944959066525,0.00010533860191230815,100,8000
cold,0.01,0.8,1.0,0.04574394495906652,0.00010648026758319773,27,8000
cold,0.05,0.9,0.5,0.22871972479533265,0.00010671031157349908,72,8000
cold,0.01,0.9,0.5,0.04574394495906652,0.00010998660115468795,55,8000
cold,0.05,0.5,5.0,0.22871972479533265,0.00012115414466817853,10,8000
cold,0.1,0.8,1.0,0.4574394495906653,0.00012383275383220926,36,8000
cold,0.05,0.8,1.0,0.22871972479533265,0.0001286101166806386,31,8000
cold,1.0,0.5,10.0,4.5743944959066525,0.00013663791502693812,14,8000
cold,0.1,0.5,5.0,0.4574394495906653,0.00014390394829577602,11,8000
cold,0.1,0.9,0.5,0.4574394495906653,0.0001448063233646657,76,8000
cold,1.0,0.7,5.0,4.5743944959066525,0.000151429162185579,27,8000
cold,0.01,0.9,1.0,0.04574394495906652,0.00016849503099192198,49,8000
cold,0.5,0.5,10.0,2.2871972479533262,0.00017821714934251887,13,8000
cold,0.5,0.9,1.0,2.2871972479533262,0.00017925498380177984,86,8000
cold,1.0,0.3,10.0,4.5743944959066525,0.0002020866425986867,8,8000
cold,0.01,0.5,10.0,0.04574394495906652,0.00021552829423621134,7,8000
cold,1.0,0.9,1.0,4.5743944959066525,0.00023718987374321543,91,8000
cold,0.5,0.7,5.0,2.2871972479533262,0.0002397624885048799,25,8000
cold,0.05,0.9,1.0,0.22871972479533265,0.0002451364029298908,60,8000
cold,0.1,0.5,10.0,0.4574394495906653,0.0002554511774905954,10,8000
cold,0.1,0.7,5.0,0.4574394495906653,0.000260027533199203,20,8000
cold,0.01,0.3,10.0,0.04574394495906652,0.00026567802364785287,4,8000
cold,0.01,0.7,5.0,0.04574394495906652,0.00027244613692012365,13,8000
cold,0.05,0.7,5.0,0.22871972479533265,0.0002830199449996851,17,8000
cold,0.05,0.5,10.0,0.22871972479533265,0.00029749059020911517,9,8000
cold,0.05,0.7,10.0,0.22871972479533265,0.00037775575969956066,16,8000
cold,1.0,0.8,5.0,4.5743944959066525,0.00038218996851480114,39,8000
cold,0.1,0.9,1.0,0.4574394495906653,0.0004141437596585362,66,8000
cold,0.1,0.8,5.0,0.4574394495906653,0.00044004406566289234,29,8000
cold,0.5,0.5,5.0,2.2871972479533262,0.0005281642039627332,12,8000
cold,0.1,0.7,10.0,0.4574394495906653,0.0005655653603500177,17,8000
cold,1.0,0.7,10.0,4.5743944959066525,0.0005746857898221158,24,8000
cold,0.05,0.8,5.0,0.22871972479533265,0.0006299716331261696,24,8000
cold,0.5,0.7,10.0,2.2871972479533262,0.0006847335370889773,21,8000
cold,0.01,0.8,5.0,0.04574394495906652,0.0007589545572019851,16,8000
cold,0.5,0.8,5.0,2.2871972479533262,0.000875587104199882,35,8000
cold,0.01,0.7,10.0,0.04574394495906652,0.0012817698281648582,9,8000
cold,0.01,0.9,5.0,0.04574394495906652,0.0014490097449528783,30,8000
cold,0.05,0.9,5.0,0.22871972479533265,0.001585327374794998,45,8000
cold,0.1,0.8,10.0,0.4574394495906653,0.0016380064080665502,23,8000
cold,1.0,0.9,5.0,4.5743944959066525,0.0017382566254178222,73,8000
cold,1.0,0.8,10.0,4.5743944959066525,0.0017448307240641725,34,8000
cold,0.5,0.8,10.0,2.2871972479533262,0.0018760955381238453,31,8000
cold,0.01,0.8,10.0,0.04574394495906652,0.0021312912812767593,12,8000
cold,0.05,0.8,10.0,0.22871972479533265,0.002165398109359895,20,8000
cold,0.5,0.9,5.0,2.2871972479533262,0.0023363880637932155,64,8000
cold,0.1,0.9,5.0,0.4574394495906653,0.0023411001091577788,49,8000
cold,0.01,0.9,10.0,0.04574394495906652,0.0030122452987477732,21,8000
cold,0.05,0.9,10.0,0.22871972479533265,0.003129405352645831,36,8000
cold,0.5,0.9,10.0,2.2871972479533262,0.0033937463318527428,58,8000
cold,1.0,0.9,10.0,4.5743944959066525,0.0038309891126373508,63,8000
cold,0.1,0.9,10.0,0.4574394495906653,0.0045424329058758595,42,8000
cold,0.5,0.3,0.5,2.2871972479533262,0.17706314772344323,6,8000
cold,1.0,0.3,0.5,4.5743944959066525,0.592755235133213,7,8000
cold,0.5,0.3,0.1,2.2871972479533262,0.6646952633154395,10,8000
cold,1.0,0.5,0.1,4.5743944959066525,0.7215037097179335,13,8000
cold,1.0,0.3,0.1,4.5743944959066525,0.8878159972873232,13,8000
